id,fold_id
14873,7
12849,3
8694,7
14006,3
3656,2
9649,6
6415,5
1470,0
11184,1
4071,5
2870,6
8730,3
10917,3
7511,9
12021,6
13268,8
6610,4
8668,1
9953,5
10567,1
14991,6
8860,4
1882,6
7951,1
3767,8
13098,5
4518,8
9718,2
11546,2
3630,9
8168,9
11289,8
14064,6
13777,4
2090,8
1325,5
1864,4
2625,4
1043,6
14048,8
4011,1
13032,2
5641,0
622,3
9504,9
2109,9
2288,2
3222,0
11213,1
5106,3
14942,2
10620,5
8078,0
11801,6
3808,1
11001,9
10080,0
7643,5
2202,6
11075,7
12923,9
934,8
3464,7
13973,0
66,9
14116,3
7595,0
1134,8
13434,5
3707,8
12589,9
10223,4
13646,6
10006,5
3622,8
12649,9
8574,4
4660,3
10288,4
977,6
9998,9
3694,9
9303,0
5732,7
418,7
8332,0
510,4
4910,9
6352,9
8855,1
1966,1
6334,4
13550,7
11943,2
8362,8
7872,6
3038,1
2367,3
9691,3
7429,7
8655,7
9906,9
9639,7
2004,8
10181,5
6983,6
329,1
13403,7
6979,3
3993,7
9374,8
13605,0
81,5
14554,1
1754,5
9010,2
7064,9
624,0
14539,6
11022,8
6074,7
12416,2
2991,9
4229,6
11002,6
14968,1
8931,7
6608,3
7578,8
11718,8
7761,1
10516,1
2961,4
1786,2
2810,5
12026,6
3621,8
8285,3
10629,3
9080,3
10203,7
6091,0
14989,2
12,7
5656,8
10212,3
108,7
8529,1
12171,1
11216,9
14287,5
3421,7
13537,8
12557,8
11704,3
13784,4
10686,8
3960,4
7428,4
1701,4
9468,6
14599,8
13495,5
5229,7
9562,6
1215,0
5453,5
12080,2
10729,9
11150,9
9417,3
13082,2
14032,2
8798,4
6397,8
6255,9
3718,4
7146,1
11585,1
5326,2
9169,6
14480,1
2578,6
9557,1
12126,0
14954,1
6880,2
1360,8
1032,2
11725,9
14052,0
14151,8
12907,7
5294,4
13155,7
14994,0
6367,7
2786,9
12486,1
1372,6
12503,2
12809,9
6280,1
1566,2
14134,7
6369,8
6972,0
5072,3
1521,1
3491,2
8508,3
5838,2
6329,9
6181,1
8965,5
5116,8
12693,6
3642,7
4621,9
5408,7
14635,2
13450,5
1935,3
6812,8
11417,5
12247,1
3663,1
3249,0
3519,5
9994,9
8687,7
3099,2
9529,8
3810,7
3477,3
3720,4
4369,0
14232,6
5542,3
10758,6
660,4
9321,0
7084,1
3128,6
8612,5
5848,7
815,6
3199,1
3043,8
12814,7
10476,9
11850,9
12989,8
2397,7
6356,1
12369,0
12184,4
10963,8
4311,1
6911,3
332,7
6768,7
2153,1
2711,3
8076,4
5959,4
6170,6
3025,0
10798,2
1059,5
8358,0
13278,2
9298,4
3092,0
1478,3
4633,5
1433,4
13750,6
12462,8
14855,0
11274,6
10484,5
5361,4
1757,6
4288,8
3645,4
4603,7
8410,0
6559,4
5253,2
9940,0
2599,8
9762,3
14157,3
6969,7
10871,1
5869,2
11953,3
4697,0
14331,3
13536,0
7051,3
13989,2
5028,1
13854,9
4745,3
5549,2
11475,6
3739,5
612,6
10551,6
7347,6
2337,1
14872,7
14370,2
11832,2
14790,3
10483,4
2446,8
2142,0
951,4
2705,2
11354,4
13332,9
5117,1
14298,1
7493,8
8548,3
13557,5
9173,9
12561,9
4887,8
6844,1
4960,2
8041,0
1949,7
6477,5
8396,7
7524,7
8227,4
4351,6
8778,8
10274,9
5602,2
14843,8
13531,0
7715,3
11058,2
10651,6
6050,5
6463,9
6589,7
6678,9
12105,7
13532,6
5639,3
1962,8
10759,3
813,0
1774,2
14565,7
13149,2
14255,6
14638,0
5598,7
1546,6
8176,8
11507,5
13952,8
14937,1
2193,5
2178,5
10,9
11364,9
6996,0
6284,9
4881,2
6643,0
14841,1
7900,8
10062,6
8378,6
10071,1
14071,2
7799,9
377,2
12170,7
2504,3
9790,6
6949,8
2362,9
10910,2
3312,6
11711,5
2839,0
9082,7
7304,1
7243,9
1708,7
11593,0
262,6
9972,1
12669,7
10679,3
12875,7
8349,1
11505,6
8520,9
12607,4
14909,3
7125,4
5339,1
12339,2
12842,4
7047,8
695,5
2700,4
7002,2
2290,3
237,6
8460,4
2201,5
11798,9
5669,2
2335,8
658,6
5485,6
11203,6
13261,0
8785,0
4788,4
7278,1
2701,1
11180,4
3525,5
14449,6
14684,7
1090,5
11018,3
12877,4
14723,2
1228,8
5250,8
358,7
3683,0
1324,4
7192,1
8639,2
7916,7
2272,4
8774,6
10277,8
1041,7
12792,8
808,3
2573,0
8602,8
8265,1
9719,5
4144,8
10333,3
9123,2
12876,3
9944,7
12239,5
13632,8
341,3
6229,0
12894,7
4829,3
7034,2
6985,9
349,6
4429,4
11755,0
7187,4
797,4
9730,5
4590,1
8125,2
2780,6
5046,0
2383,9
1703,1
5131,3
874,0
8498,7
11333,4
7406,2
14267,2
2987,2
505,4
5978,5
3910,9
7555,9
8002,2
3058,2
7114,6
6508,9
7862,0
4103,1
374,8
13761,4
14929,2
1388,1
4870,1
5320,0
1971,9
10554,9
1129,7
6425,9
7781,5
14260,5
11065,0
5178,0
4095,3
14969,5
3646,6
11764,5
4028,1
10872,4
4483,4
2034,7
8477,7
3112,2
7895,0
4993,6
14846,9
8923,4
10993,2
2770,2
14493,7
6265,3
5088,2
12701,7
14824,1
8416,0
7104,1
7750,6
8469,6
12355,2
3083,2
2651,7
12799,2
10439,4
979,0
11242,0
4619,8
126,3
1664,8
2895,1
11393,4
3613,1
9136,8
5807,5
6057,5
3804,4
14904,1
12727,3
14830,0
14153,8
14202,5
6821,5
540,1
5958,6
1988,0
3086,0
6243,7
9937,7
11969,5
10577,4
12843,1
573,4
8824,8
14809,6
2825,0
13019,2
3860,3
14649,9
12548,2
4948,2
14481,3
3494,6
6581,8
8744,4
11050,5
9034,1
5922,2
3016,1
8344,0
3324,6
6390,0
6159,7
14596,3
11312,0
3854,4
249,6
12001,1
7685,6
9699,3
3186,3
10769,0
5765,8
10265,8
87,1
727,1
926,8
5717,5
1075,8
13739,4
7417,2
2978,3
13238,4
14409,4
1534,7
11627,1
3076,3
2017,8
10697,9
6792,8
11866,3
10742,4
13068,7
7291,8
13551,5
102,6
11035,7
7508,7
12402,8
2471,4
12661,9
6035,7
14488,5
13222,0
4206,4
3441,0
9955,5
10790,9
10592,2
9280,2
7566,3
5526,3
1336,8
11315,8
6025,6
8620,5
319,8
9131,9
10594,5
3490,2
3307,9
4996,7
12747,2
9060,2
5674,5
10359,7
10405,3
13862,9
6072,1
14213,6
2546,6
3861,0
5405,1
8248,5
4923,7
6302,2
12338,1
12542,1
13529,2
2756,8
886,3
11336,5
3837,6
846,8
3730,3
9820,5
5773,0
12960,6
11317,3
3379,8
13383,0
1736,9
12905,8
6440,5
11330,4
6940,8
6480,3
5802,6
11813,9
7004,8
10086,2
7584,0
8793,2
109,2
8727,1
2134,1
14881,7
3131,7
6000,3
10487,0
5891,3
6394,6
14571,2
14188,3
6626,7
8768,7
227,9
2884,5
2883,3
1960,4
6855,4
944,2
10084,9
10318,2
14651,2
2745,1
8742,6
7260,1
6456,7
4230,5
935,9
14004,7
12302,7
2948,5
11298,4
8604,6
10208,6
5114,8
7697,7
12870,6
4296,2
4836,4
11130,8
11988,9
7998,1
10982,1
903,2
13484,9
7496,0
10373,7
3142,5
10870,8
631,9
11570,3
11709,1
3943,8
9554,4
383,3
11964,4
7672,4
13974,7
7127,3
10678,7
12918,0
3911,6
14818,4
1194,2
2875,1
10505,8
10942,5
12678,0
6913,6
138,9
11080,0
3561,6
1927,4
6713,3
12008,5
7682,6
8421,9
2508,6
1163,2
13877,8
9192,3
790,6
2113,6
14376,4
3802,7
10943,9
2678,4
6496,2
13253,1
4074,4
6548,7
679,8
10448,7
8737,6
4339,7
5324,4
6429,7
9694,6
80,2
14945,7
7670,4
9156,9
988,5
2881,6
12164,6
12995,9
11502,3
2462,0
442,0
8709,0
7859,1
12227,6
14560,7
10066,8
3781,0
12682,2
6869,0
3000,1
11231,7
12091,9
7833,8
14186,6
9666,3
12354,8
2608,0
4837,1
8509,3
3438,1
13230,7
14673,4
8215,3
14541,1
693,6
1204,9
8030,1
721,4
1613,3
4778,6
10306,6
13266,5
5993,8
6330,9
2161,6
4624,4
10424,8
3994,6
4983,3
2359,1
4378,8
14582,0
351,8
4345,7
4536,0
4093,0
557,1
8183,7
5393,8
4474,1
7513,4
1346,8
13624,8
13499,8
5240,0
11705,6
14713,3
8466,0
5531,3
8631,9
5435,4
13165,2
5821,9
2360,4
3903,1
11395,8
192,4
1851,6
6664,2
5374,4
9040,6
7358,4
12845,2
1331,1
4653,3
10779,8
6361,6
3555,7
14266,5
8401,3
9172,4
6438,4
74,6
13359,1
4645,4
6386,6
5366,6
11210,8
11631,1
2951,0
13168,0
8453,4
11693,1
2928,7
14075,3
12464,7
5503,0
8757,3
3113,7
11087,8
7740,9
3698,7
14086,2
9735,0
4037,2
8773,6
9145,1
4130,7
7503,5
3932,6
7650,0
3220,9
6837,7
13627,2
1457,6
1008,3
5123,5
6146,3
14573,9
13815,4
1044,2
930,8
2963,8
7775,8
10396,6
1003,9
2776,4
6287,1
6669,8
8467,7
12479,9
8968,1
12982,0
14878,5
10316,2
9600,7
13942,7
8210,4
1843,5
5158,3
8448,0
10491,9
7292,1
9807,0
3045,8
13140,1
9870,5
8797,8
8513,0
8678,5
5494,6
13889,8
11072,2
4622,5
9908,7
4755,9
1091,6
9902,6
14572,3
11170,2
13969,2
12600,5
11451,6
11796,7
785,7
6018,9
5279,8
4664,1
7451,8
7829,3
6203,7
9894,0
4131,9
1389,6
1810,6
8928,8
11284,7
4269,6
3842,9
3584,5
6605,3
1155,4
11578,8
5436,4
5904,0
9271,3
11889,4
2491,8
5713,1
13530,7
7882,2
13831,7
10764,3
4928,0
4379,0
10553,0
2479,2
9235,1
13948,4
3394,8
2751,0
7606,4
5787,4
13451,2
1552,7
7191,2
3914,4
14030,5
4000,3
5424,9
8331,7
4508,5
314,0
10968,4
3912,1
8397,4
32,1
8359,3
3500,4
5242,4
1732,6
4008,9
1579,9
7249,2
4631,1
12857,4
1979,7
60,9
696,1
9139,8
14810,6
14744,5
13026,0
8505,4
3048,5
5558,2
13645,1
8482,3
9294,6
9434,5
75,6
4617,4
1154,0
3902,3
8672,3
4924,9
10789,2
1006,1
7140,5
3032,3
8630,1
11478,5
12392,1
1929,8
4197,5
3871,5
12415,5
11592,1
5612,8
14944,4
12280,6
13802,9
8994,9
13348,3
4596,7
7512,7
4791,2
6388,8
10070,1
7894,1
4453,3
493,3
7422,9
14602,2
3296,1
3667,3
2909,3
12570,0
8120,9
3681,8
10986,6
2935,0
9204,1
5018,5
1781,7
2107,0
4695,7
1841,5
12953,0
7241,8
8450,7
12582,6
14732,1
14702,4
3664,6
12911,1
8939,7
13791,2
11799,7
11878,6
2435,6
635,1
9823,2
2300,4
14920,1
7821,0
3110,0
4930,0
4995,5
5191,0
10478,5
5260,2
11215,8
3985,4
13106,6
277,8
14313,8
13710,3
3161,5
9704,2
3595,8
12130,0
7571,4
10048,9
13762,8
14663,1
6719,1
11342,1
13480,6
1563,3
4051,7
289,2
5231,6
7481,5
5090,8
5855,6
12396,1
3171,2
4987,6
1436,6
12319,2
7234,1
9642,4
3818,4
11264,2
12770,1
5976,0
2014,4
9634,3
91,3
7115,0
2775,2
1597,2
12825,1
1680,5
11944,0
9217,9
365,3
8454,2
14526,7
571,9
6250,3
3020,9
14165,8
14235,8
2616,7
775,7
10199,6
6784,7
10673,1
14229,7
7875,7
2273,6
14355,4
11995,2
13345,1
9135,0
14928,9
1608,8
6245,4
10126,2
11139,7
185,3
8389,2
2774,4
2364,7
7377,5
4662,4
6820,0
5519,1
9764,2
3868,5
2717,6
4462,3
3462,5
5990,4
8786,8
14532,6
14987,9
7491,0
6402,1
14825,9
11331,4
4582,8
10307,5
2205,9
7487,6
13107,8
3232,8
1820,8
6671,4
6317,5
8237,5
6826,3
13399,3
6082,1
5621,6
8561,5
6446,9
9483,1
8373,1
3931,4
6372,5
3905,0
2659,4
1476,6
10315,2
9415,7
10542,3
3475,9
1218,8
2358,2
6114,2
1189,2
2976,2
2784,1
5456,2
7588,4
9784,6
10936,1
6205,3
14950,1
9863,3
14887,9
13242,9
7912,8
949,9
14098,6
11883,0
6680,3
7041,4
4792,7
10198,6
3843,5
9632,7
541,8
13535,8
11660,5
13244,0
11945,0
9633,7
1824,9
12025,4
33,0
5878,5
6310,1
7972,0
6004,8
9329,3
7284,0
3501,7
8532,0
14195,5
348,5
9765,8
12553,9
84,5
274,9
13576,3
3262,8
8660,6
8945,6
181,0
12567,0
3901,3
2065,8
7649,4
14383,5
14828,8
5667,6
3129,1
14451,3
2001,5
14307,1
7836,4
8186,3
2464,8
12762,1
8601,6
8576,7
1106,8
13386,7
4908,6
13708,3
11066,1
5816,8
6805,1
14706,3
9541,2
2967,5
13208,5
7242,6
5179,9
9841,5
14142,2
601,1
12583,4
3056,6
6620,6
353,8
12713,3
2082,5
8863,3
10042,8
13312,3
11975,3
10814,2
1132,7
285,2
6070,3
10626,5
4946,6
10665,9
14616,1
8247,9
2606,2
3786,2
8621,2
14999,8
4848,4
8566,6
1602,1
13697,1
4302,2
10684,5
1159,4
2166,0
13317,0
6227,0
2231,9
8355,6
5373,4
1341,8
9496,1
2149,3
7805,1
9791,3
1070,8
5939,3
5060,9
3833,1
4097,5
14335,1
4132,1
7346,6
4031,6
2402,1
7572,1
11182,4
1064,4
13393,4
2648,0
4938,7
1274,5
14674,3
1326,1
10178,4
10088,7
822,5
2670,3
3648,0
5630,9
5761,1
10237,3
12353,8
3255,0
12370,6
5340,8
11527,0
7794,9
3308,4
7905,7
8734,3
13723,4
5618,5
9786,2
9331,8
13658,5
5347,2
10733,2
4797,3
877,6
897,6
7423,3
2844,1
12696,2
6751,8
10563,5
12926,7
3401,8
4525,5
8834,7
12569,6
2702,7
12788,5
1806,3
8249,4
13289,1
4501,3
2341,1
11641,1
9001,9
1506,7
9147,3
12262,9
14869,2
6832,9
7721,7
2510,1
14664,2
6591,3
8795,4
2558,5
5282,3
4952,8
13740,0
5934,4
5357,5
13845,6
5546,4
9933,9
7946,5
2547,7
11928,4
14339,9
12691,7
14160,2
10579,6
1524,8
14363,1
14389,2
297,0
8316,3
636,2
11526,6
8893,2
10599,3
6164,9
4675,9
13028,7
12869,8
11118,2
1013,7
5187,1
8738,0
1271,1
14192,8
5846,1
14563,1
10503,0
12139,6
12830,1
9251,2
10046,5
4842,4
2055,0
6149,8
9368,9
2689,1
12276,1
5857,8
7516,1
10713,4
629,5
9929,2
12490,7
10196,2
14643,0
12052,2
11948,2
11513,6
8360,2
8393,9
9518,1
5899,3
10568,0
6757,8
12249,2
14328,2
11346,8
12554,6
4899,7
9866,9
4846,2
12737,3
1081,7
5495,5
6297,7
1593,4
5594,8
6583,6
10171,3
893,5
3323,7
2706,5
12411,3
1281,3
1391,6
3233,0
3239,6
1771,9
2037,7
11793,6
2904,6
12718,5
644,1
1872,4
5796,1
11359,1
814,1
8153,5
11567,7
1999,6
8510,1
2577,5
11048,7
14592,1
5711,8
7075,7
1456,4
6178,2
8488,6
608,8
9351,7
8650,8
12992,4
11332,2
1065,6
7105,5
8375,5
4922,9
11967,4
12405,5
14961,1
5181,5
13978,3
6188,1
14021,1
2867,3
14667,6
10065,6
11736,7
11926,8
1408,4
10444,2
5185,3
6163,6
12029,3
8689,2
1358,1
7373,5
8872,7
11703,4
7966,7
3291,9
13271,9
1452,6
6029,8
11951,6
3504,4
6989,4
4085,9
10964,9
6288,3
1705,6
8642,9
12189,1
2392,5
12306,8
13808,7
8147,5
1834,6
13909,4
4703,3
527,6
13229,4
704,7
11667,7
10785,9
12537,9
1146,4
42,3
6513,6
1260,9
7334,0
5157,4
9560,1
1725,2
9993,7
9416,1
1427,9
966,0
9266,7
9605,3
10999,1
11602,1
5096,5
10200,3
11222,1
12467,6
12456,3
14614,9
4771,8
6790,2
477,2
2934,9
2990,9
3167,8
9535,1
11345,4
2003,8
5298,9
9619,4
7694,1
8403,2
3793,6
5052,7
7523,9
8149,9
3538,1
11522,0
488,5
14745,3
13401,8
4544,3
6999,2
8011,8
7876,9
10744,1
3571,2
2140,3
5860,0
6737,3
8896,6
5889,6
6303,2
10384,8
9647,9
3484,7
3938,0
10040,7
6838,4
5569,4
5730,0
150,7
9812,3
5868,5
5136,0
1216,9
13510,3
12309,9
9353,8
7427,8
1539,4
7807,2
588,0
3530,6
13077,9
7360,4
4005,0
9218,0
13258,1
14299,9
11632,9
4010,5
12201,4
3005,5
10913,9
1869,0
8191,4
13240,0
13690,4
6533,9
11470,2
5632,7
13705,4
937,5
1463,7
10036,6
3027,3
2926,3
2861,8
9228,9
2043,7
234,5
1125,8
13088,7
7688,1
669,6
11751,1
4004,2
3264,3
1073,9
1733,1
13935,7
11634,1
13070,2
10674,7
1937,9
6555,2
7665,3
13681,9
4918,6
7647,5
14895,4
7691,3
1472,3
12912,9
3721,9
8696,4
2112,8
9072,7
10187,1
2027,2
10267,4
4052,4
2661,4
10980,0
14959,9
14361,7
14579,5
10889,1
11986,7
4635,1
11923,8
3356,1
1508,6
5345,6
5005,2
12987,4
13102,5
2210,2
113,3
8832,2
7621,0
12367,2
11583,3
4257,9
811,4
13871,6
6129,8
5588,1
10991,3
14330,3
1213,2
8887,7
5119,4
2023,6
14537,0
2914,9
1270,4
6536,4
485,7
9543,2
5182,9
13899,3
12273,9
2312,3
10645,2
8429,8
2395,9
11735,4
11504,6
3051,2
13404,9
1673,0
10893,5
5418,3
12294,0
10211,6
7771,6
1729,1
8065,9
10186,6
8806,3
7828,2
5488,6
10297,7
6231,8
1480,9
3359,2
652,7
5617,1
3114,0
9456,4
4212,3
11158,3
11924,6
436,2
6635,5
492,1
13067,6
12744,3
5777,5
11129,3
13430,5
7498,6
4044,4
13643,6
7576,2
7834,5
9859,3
6864,9
11105,4
7376,0
8365,0
7290,3
5532,8
9622,7
497,2
3396,9
1849,8
4538,6
4025,0
531,2
6741,0
3741,4
8115,4
8543,0
9190,7
9677,0
14911,0
9194,4
7675,8
12863,3
4113,1
406,6
1592,9
12625,5
5572,0
8708,8
10415,7
1001,4
4557,9
2361,4
1421,3
14127,0
12994,7
9134,1
10821,9
2077,6
14434,0
3214,2
117,2
13395,1
7742,8
11102,1
14512,0
9332,7
10466,0
7232,8
2789,0
6165,5
8274,3
9963,5
8950,4
12827,6
7395,4
3586,0
11,5
4539,8
2680,9
3727,5
5386,7
11088,9
7991,8
13906,6
4667,2
3328,2
4944,0
7154,3
3756,9
4565,6
3230,9
7213,9
2022,4
11490,5
5875,6
340,1
3682,6
6987,8
12697,6
440,6
2000,8
3980,1
3387,4
11842,8
11756,2
3078,7
12047,2
7087,2
10416,0
6059,3
12944,9
14415,2
1096,8
7430,1
1316,4
9665,3
3672,6
14126,7
5097,4
10792,7
6527,0
8918,9
870,2
6090,0
16,6
6799,1
959,2
6631,4
8347,3
14756,1
11103,2
1888,4
12162,0
4287,4
8971,7
13897,9
3251,1
14676,5
14012,9
8746,8
14101,7
12835,9
3736,8
12381,0
3453,5
7899,7
9810,0
3228,1
9701,4
8700,6
1696,5
3146,3
11884,9
6096,3
6586,8
4779,6
283,4
7677,2
14367,9
12950,8
13787,5
3409,6
356,1
2633,7
9406,4
4602,8
8060,2
424,3
12293,3
14687,3
10270,1
4939,5
8770,7
13181,7
2342,7
5600,3
3055,9
13144,2
2102,2
3839,3
7564,9
2864,5
8305,4
4321,8
12858,5
1856,3
3265,7
188,4
6540,8
2083,7
6100,3
9815,8
5698,5
10894,8
7632,0
10992,4
13462,8
7138,2
7562,6
4856,0
2226,8
13598,7
8619,2
12518,1
2421,2
4006,7
4782,9
6128,1
14220,2
3986,5
5609,3
5387,5
3930,9
600,5
6027,8
1654,6
10778,0
8891,9
9565,2
3487,8
12866,7
2996,9
1842,4
3479,4
9206,5
2240,7
11160,3
6943,1
664,8
2494,8
8190,5
14495,9
7982,7
7384,5
13809,8
10206,1
13828,9
331,2
14691,6
12068,0
3653,6
12853,2
7077,6
13639,7
3321,0
10160,9
2413,1
1432,5
10973,7
11831,0
9990,5
7462,4
1511,1
13083,8
1366,8
14482,4
852,3
11586,4
8280,9
10795,7
12784,8
11576,5
13662,1
499,6
13448,5
10193,3
12042,5
10548,0
1023,3
8074,4
10880,9
5655,2
10650,7
5870,5
4433,0
14109,4
13328,1
6324,1
10555,9
8036,2
12150,8
8684,1
1694,3
12970,7
13503,8
11046,6
5631,4
4982,9
7507,9
193,1
5530,2
12681,5
11053,4
2433,5
4081,8
10537,1
2718,4
7321,3
4243,7
7123,2
14948,4
11031,9
11411,2
2427,4
13685,8
7858,2
12867,5
5348,5
9055,6
10136,4
11125,3
2196,5
13225,6
9180,4
3350,2
3548,7
3147,2
7974,2
7276,6
5460,9
2458,7
2586,6
3488,9
5302,0
11821,9
5700,3
10393,4
12240,0
6465,0
12071,9
11404,0
7201,5
9111,5
10441,5
8132,8
13163,7
8595,2
2269,2
14245,2
8015,5
7873,2
1778,2
8390,8
8310,6
4050,8
6524,9
8583,1
10978,8
8295,7
9601,2
10844,9
5831,0
12805,9
914,7
12181,2
5918,0
865,6
12451,1
12404,1
12841,0
3870,4
14219,1
489,0
14060,5
1118,0
359,9
9002,1
4156,3
5,2
3070,7
8333,0
13306,0
7262,0
10866,1
8222,4
9892,1
1186,8
2543,7
3680,4
2486,8
5824,0
9130,2
4533,4
2356,1
6078,1
8099,5
13858,8
2682,5
12069,5
9737,9
4452,0
10529,5
14166,8
2148,4
7687,3
5349,7
2856,5
13744,7
2167,4
11516,9
9950,1
9005,0
7231,1
13524,2
6617,5
7212,1
1458,5
10309,2
1492,5
7530,1
6885,2
9052,0
761,9
5814,8
1560,4
1855,4
1042,7
14063,0
10252,4
166,1
14364,2
12297,4
12283,0
14490,3
13492,1
10888,6
3552,1
13884,7
8384,2
14866,8
5234,3
9553,3
8585,8
10606,3
7976,3
9592,1
5201,9
1251,6
13806,7
731,3
3365,8
14511,6
14431,8
6803,1
532,6
10465,4
1176,0
12986,2
2442,6
4604,6
11249,7
7608,0
2544,3
10805,6
2665,6
1487,8
11580,4
3760,0
14533,8
7196,3
6640,4
5514,0
5719,2
1704,0
14761,0
11523,9
6344,1
10800,9
4299,8
6360,9
11900,4
4421,9
6975,9
5115,3
5740,6
6692,3
1225,7
8022,2
10107,8
12121,7
9869,5
8527,0
4659,0
4913,6
13657,2
7639,4
13239,9
7136,7
6532,9
5025,5
4228,9
10411,8
9197,8
9512,7
4153,0
11397,6
10838,5
12221,2
9614,1
13205,3
741,0
5893,6
9356,6
14921,8
4805,4
3515,6
470,0
7654,1
6926,4
14333,2
7874,4
8170,6
7537,4
9042,1
14337,7
8711,6
3616,1
14509,9
6628,5
7486,2
5257,7
6623,4
2740,6
3554,8
10543,6
10547,0
2085,6
6153,5
4530,7
12469,0
11572,7
316,3
261,9
3463,8
8290,9
6859,0
12318,7
9273,8
6630,9
5752,8
14729,7
3557,6
4307,1
12322,8
6135,5
8005,6
1591,1
4957,6
13024,5
7961,7
8112,0
6461,5
13164,6
13846,4
9069,2
10182,3
1266,7
8898,8
9563,2
13660,6
7295,7
6162,8
7886,8
9083,1
5783,2
1386,1
3374,0
1000,1
11076,3
14955,8
11198,6
3266,0
5044,9
14693,5
2550,2
13482,4
8255,3
3726,8
11993,0
10911,0
740,6
6341,1
4949,9
5270,9
10612,2
6038,4
2265,9
7948,9
7669,7
3194,3
459,3
2390,7
7099,5
10016,5
12663,6
6733,7
4847,0
8686,2
13351,9
11918,5
12776,4
11563,2
2120,5
10823,1
12314,9
3008,9
12755,2
3967,5
10715,5
3337,6
5836,3
2783,2
11814,2
480,6
2254,9
14263,3
6703,3
12059,9
14715,7
14051,4
2787,4
5971,3
12487,6
12749,2
2319,9
5037,4
707,3
3897,7
9480,3
13412,7
5300,6
7160,3
1,9
2378,9
12890,6
13248,3
10422,6
6747,9
11163,4
10841,7
8654,1
14054,7
3050,4
14143,0
3206,5
7852,7
11466,3
585,3
9492,1
6752,8
7020,8
7348,4
13468,6
6787,3
9151,0
14384,8
4795,5
1890,4
9168,7
6066,1
170,4
447,2
2382,7
875,7
2854,0
4320,5
7733,4
14162,9
293,4
364,5
1022,3
14386,8
12750,8
2962,6
11234,1
9339,6
6521,6
7301,5
407,8
8266,2
6698,3
2983,7
3909,6
392,2
14250,0
10348,9
10378,4
14742,0
6705,3
10649,0
3651,6
8107,6
5782,7
754,9
6023,8
5874,1
10961,4
11135,5
11239,8
10952,3
14783,0
4118,2
1200,6
379,4
13525,9
3370,3
1715,5
11514,2
12613,1
9414,8
7313,2
4274,3
14130,0
816,7
13269,6
13959,7
12407,3
13300,1
7190,6
11269,5
11775,9
8844,7
14439,5
3358,1
8581,7
14236,0
10408,1
7281,7
10218,0
9645,2
1273,4
13075,5
10669,7
4281,6
9905,0
11428,7
4509,6
1066,9
11748,1
4152,5
9984,7
5955,0
1540,4
10239,6
10638,4
7526,3
12333,4
5969,9
10600,8
6220,7
292,1
10144,8
9486,2
5010,6
8304,4
4479,0
10569,6
10906,6
9980,6
11255,3
9481,6
10060,8
5303,8
2823,2
6529,3
7120,7
6158,1
1136,7
1699,4
1868,0
9085,9
11473,6
5545,9
12123,5
5262,5
9426,2
14072,7
2896,3
9048,9
11528,9
13076,5
4404,1
5585,5
10720,9
13433,8
30,2
4248,0
11957,4
10846,1
9467,3
4834,6
3865,1
9999,5
13394,3
3082,6
5654,5
3882,9
10550,8
5610,7
5998,8
10345,5
7141,3
13426,8
7734,1
9569,5
7319,8
10472,9
11937,4
4451,3
3498,9
14401,0
5154,2
11273,7
8336,9
5144,9
3263,4
1692,2
666,5
